,links,link_text
0,"Link(url='https://maps.google.com/maps?q=plumbers+facebook&sxsrf=ALeKk01cY8w_4aH1ji5s3fzFPtdlVl6uww:1620182129005&gs_lcp=Cgdnd3Mtd2l6EAxQAFgAYL3axAJoAHACeACAAcoBiAHKAZIBAzItMZgBAKoBB2d3cy13aXrAAQE&um=1&ie=UTF-8&sa=X&ved=0ahUKEwi35J_LgrLwAhUUWCsKHQZ8C-8Q_AUICygE', text='ম্যাপ', fragment='', nofollow=False)",ম্যাপ
1,"Link(url='https://www.google.com/url?q=https://www.facebook.com/pages/category/plumber/&sa=U&ved=2ahUKEwi35J_LgrLwAhUUWCsKHQZ8C-8QFjAAegQIARAB&usg=AOvVaw0DTsk17JdLcNBhwzhPZxBa', text='Plumbing Service Pages | Facebookwww.facebook.com › category › plumber', fragment='', nofollow=False)",Plumbing Service Pages | Facebookwww.facebook.com › category › plumber
2,"Link(url='https://www.google.com/url?q=https://www.facebook.com/pages/category/Plumbing-Service/Plumbers-Directory-120152744988971/&sa=U&ved=2ahUKEwi35J_LgrLwAhUUWCsKHQZ8C-8QFjABegQICBAB&usg=AOvVaw2IxX3duEIpmcHavqxFwVgS', text='Plumbers Directory - Home | Facebookwww.facebook.com › Plumbing-Service', fragment='', nofollow=False)",Plumbers Directory - Home | Facebookwww.facebook.com › Plumbing-Service
3,"Link(url='https://www.google.com/url?q=https://www.facebook.com/MASTERPLUMBERAU/&sa=U&ved=2ahUKEwi35J_LgrLwAhUUWCsKHQZ8C-8QFjACegQICRAB&usg=AOvVaw0swKEW_ITAcUXZO6HOpo5F', text='Master Plumbers - Home | Facebookwww.facebook.com › ... › Plumbing Service', fragment='', nofollow=False)",Master Plumbers - Home | Facebookwww.facebook.com › ... › Plumbing Service
4,"Link(url='https://www.google.com/url?q=https://www.facebook.com/plumberscommunity/&sa=U&ved=2ahUKEwi35J_LgrLwAhUUWCsKHQZ8C-8QFjADegQIBxAB&usg=AOvVaw0RhJ5pGHYtkT8k5ZJ_NiYL', text='Plumbers Community - Home | Facebookwww.facebook.com › ... › Community', fragment='', nofollow=False)",Plumbers Community - Home | Facebookwww.facebook.com › ... › Community
5,"Link(url='https://www.google.com/url?q=https://www.facebook.com/pages/category/Product-Service/Plumbers-Only-287577968076605/&sa=U&ved=2ahUKEwi35J_LgrLwAhUUWCsKHQZ8C-8QFjAEegQIABAB&usg=AOvVaw0cjiSd4BuPOj3m52h3FdRJ', text='Plumbers Only - Home | Facebookwww.facebook.com › ... › Plumbers Only', fragment='', nofollow=False)",Plumbers Only - Home | Facebookwww.facebook.com › ... › Plumbers Only
6,"Link(url='https://www.google.com/url?q=https://www.facebook.com/pipeperfectionplumbers/&sa=U&ved=2ahUKEwi35J_LgrLwAhUUWCsKHQZ8C-8QFjAFegQIBRAB&usg=AOvVaw3r9NaX5YX3GHdwl4I4VQqT', text='Pipe Perfection Plumbers - Home | Facebookwww.facebook.com › ... › Roofing Service', fragment='', nofollow=False)",Pipe Perfection Plumbers - Home | Facebookwww.facebook.com › ... › Roofing Service
7,"Link(url='https://www.google.com/url?q=https://www.facebook.com/PlumberList/&sa=U&ved=2ahUKEwi35J_LgrLwAhUUWCsKHQZ8C-8QFjAGegQIAhAB&usg=AOvVaw1KDEHETHYmLWRaXLoGeR2h', text='Plumber List UK - Home | Facebookwww.facebook.com › PlumberList', fragment='', nofollow=False)",Plumber List UK - Home | Facebookwww.facebook.com › PlumberList
8,"Link(url='https://www.google.com/url?q=https://www.facebook.com/plmbr/&sa=U&ved=2ahUKEwi35J_LgrLwAhUUWCsKHQZ8C-8QFjAHegQIBhAB&usg=AOvVaw3qC2cD8ZC7gIfQmQIITFA9', text='Plumbers - Home | Facebookwww.facebook.com › plmbr', fragment='', nofollow=False)",Plumbers - Home | Facebookwww.facebook.com › plmbr
9,"Link(url='https://www.google.com/url?q=https://www.facebook.com/PavlouPlumbers/&sa=U&ved=2ahUKEwi35J_LgrLwAhUUWCsKHQZ8C-8QFjAIegQIAxAB&usg=AOvVaw0nRNvjAsULwCvqbra1VIqH', text='Pavlou Plumbers - Home | Facebookwww.facebook.com › ... › Plumbing Service', fragment='', nofollow=False)",Pavlou Plumbers - Home | Facebookwww.facebook.com › ... › Plumbing Service
10,"Link(url='https://www.google.com/url?q=https://www.facebook.com/pages/category/Plumbing-Service/Bayshore-Plumbers-204743192884843/&sa=U&ved=2ahUKEwi35J_LgrLwAhUUWCsKHQZ8C-8QFjAJegQIBBAB&usg=AOvVaw0H9yN-YGanX7xBf-bXmkme', text='Bayshore Plumbers - Home | Facebookwww.facebook.com › ... › Contractor', fragment='', nofollow=False)",Bayshore Plumbers - Home | Facebookwww.facebook.com › ... › Contractor
11,"Link(url='https://www.google.com/url?q=https://support.google.com/websearch%3Fp%3Dws_settings_location%26hl%3Dbn&sa=U&ved=0ahUKEwi35J_LgrLwAhUUWCsKHQZ8C-8Qty4IKw&usg=AOvVaw1htIzOZCrahQUc-5DagEQx', text='আরও জানুন', fragment='', nofollow=False)",আরও জানুন
12,"Link(url='https://www.google.com/url?q=https://accounts.google.com/ServiceLogin%3Fcontinue%3Dhttps://www.google.com/search%253Fq%253Dplumbers%252Bfacebook%2526sxsrf%253DALeKk01cY8w_4aH1ji5s3fzFPtdlVl6uww:1620182129005%2526ei%253DcASSYMHpPMrw9QO_xqDYDg%2526oq%253Dplumbers%252Bfacebook%2526gs_lcp%253DCgdnd3Mtd2l6EAxQAFgAYL3axAJoAHACeACAAcoBiAHKAZIBAzItMZgBAKoBB2d3cy13aXrAAQE%2526sclient%253Dgws-wiz%2526ved%253D0ahUKEwjB4ZTiwLHwAhVKeH0KHT8jCOsQ4dUDCA4%26hl%3Dbn&sa=U&ved=0ahUKEwi35J_LgrLwAhUUWCsKHQZ8C-8Qxs8CCCw&usg=AOvVaw2jiM_mB3k87vaJUxv_touW', text='সাইন-ইন করুন', fragment='', nofollow=False)",সাইন-ইন করুন
